wl (nm),eff
540.4637451,0.192050245
540.6887817,0.204228691
540.9138184,0.19898826
541.138855,0.178584981
541.3639526,0.17311873
541.5890503,0.173377099
541.8140869,0.162170964
542.0392456,0.163308658
542.2643433,0.157392141
542.4894409,0.154069925
542.7145996,0.157280872
542.9397583,0.148110333
543.164917,0.161015928
543.3900757,0.15508303
543.6152954,0.163035573
543.8404541,0.174667227
544.0656738,0.199569279
544.2908936,0.194029752
544.5161133,0.210224182
544.741394,0.20803313
544.9666138,0.23317749
545.1918945,0.245906225
545.4171753,0.25958249
545.6424561,0.26865941
545.8677368,0.307222129
546.0930786,0.30802327
546.3183594,0.335437694
546.5437012,0.358225218
546.769043,0.372654612
546.9944458,0.402549052
547.2197876,0.417538871
547.4451904,0.423101597
547.6705933,0.436127042
547.8959961,0.457016143
548.1213989,0.482772093
548.3468018,0.476615195
548.5722656,0.498887908
548.7977295,0.498092849
549.0231323,0.515933085
549.2486572,0.517826902
549.4741211,0.547911969
549.699585,0.571596574
549.9251099,0.555975058
550.1506348,0.569948679
550.3761597,0.56323342
550.6016846,0.576686611
550.8272705,0.612920742
551.0527954,0.590193014
551.2783813,0.591257789
551.5039673,0.585115235
551.7296143,0.600436994
551.9552002,0.612640307
552.1807861,0.597342777
552.4064331,0.595329028
552.6320801,0.598261008
552.8577271,0.60836775
553.0834351,0.611819201
553.309082,0.603062708
553.53479,0.628086931
553.760498,0.603800366
553.9862061,0.618832241
554.2119141,0.630467587
554.4376221,0.637802294
554.6633911,0.625051302
554.8891602,0.626082615
555.1149292,0.631295047
555.3406982,0.6355283
555.5664673,0.619814622
555.7922974,0.612654981
556.0181274,0.625200781
556.2439575,0.655572665
556.4697876,0.599679963
556.6956177,0.603868273
556.9215088,0.600685126
557.1473389,0.597056159
557.37323,0.591716792
557.5991211,0.592977282
557.8250122,0.577617901
558.0509644,0.601566986
558.2768555,0.575330911
558.5028076,0.548957479
558.7287598,0.556357566
558.9547119,0.560819266
559.1807251,0.535597757
559.4066772,0.545781418
559.6326904,0.546186
559.8587036,0.545031385
560.0847168,0.527888274
560.31073,0.529996572
560.5367432,0.520780215
560.7628174,0.521371072
560.9888916,0.510360695
561.2149658,0.501154785
561.44104,0.494056073
561.6671143,0.486644783
561.8932495,0.474075178
562.1193848,0.480512158
562.345459,0.46834825
562.5716553,0.467846474
562.7977905,0.455873612
563.0239258,0.45605922
563.2501221,0.452664836
563.4763184,0.435802861
563.7025146,0.433686192
563.9287109,0.432013343
564.1549072,0.425909776
564.3811646,0.430285451
564.6074219,0.416119186
564.8336792,0.408882166
565.0599365,0.414857288
565.2861938,0.408252601
565.5124512,0.406960278
565.7387695,0.409968946
565.9650879,0.417178964
566.1914063,0.42369468
566.4177246,0.424822907
566.644043,0.419748407
566.8704224,0.446015947
567.0968018,0.441659482
567.3231812,0.447739629
567.5495605,0.450085221
567.7759399,0.459713269
568.0023804,0.472611772
568.2287598,0.467252814
568.4552002,0.48988185
568.6816406,0.486368442
568.9080811,0.481275832
569.1345825,0.489271575
569.3610229,0.494067672
569.5875244,0.486915173
569.8140259,0.492652519
570.0405273,0.484585964
570.2670288,0.498341524
570.4935913,0.488122983
570.7200928,0.486582232
570.9466553,0.482029925
571.1732178,0.489147204
571.3998413,0.483682947
571.6264038,0.500047661
571.8529663,0.483161234
572.0795898,0.479269572
572.3062134,0.485812929
572.5328369,0.49960722
572.7594604,0.485303974
572.986145,0.487112856
573.2128296,0.496677657
573.4394531,0.49236753
573.6661377,0.503913903
573.8928833,0.511973551
574.1195679,0.51672925
574.3463135,0.510323614
574.572998,0.510175681
574.7997437,0.52082789
575.0264893,0.526785417
575.2532349,0.524131473
575.4800415,0.519625581
575.7068481,0.520924892
575.9335938,0.5105547
576.1604004,0.499232535
576.387207,0.49123933
576.6140747,0.50000648
576.8408813,0.50001158
577.067749,0.498094161
577.2946167,0.503158613
577.5214844,0.502879683
577.7483521,0.506295137
577.9752808,0.520533638
578.2021484,0.509687975
578.4290771,0.521645362
578.6560059,0.518536916
578.8829346,0.529083227
579.1098633,0.531682272
579.336853,0.52514649
579.5638428,0.513875953
579.7907715,0.508242222
580.0177612,0.516690117
580.244812,0.511346546
580.4718018,0.49927904
580.6988525,0.486826001
580.9258423,0.48394837
581.1528931,0.487296571
581.3799438,0.486368772
581.6070557,0.4802388
581.8341064,0.484178254
582.0612183,0.483641647
582.288269,0.489308622
582.5153809,0.471280581
582.7425537,0.469673848
582.9696655,0.471781556
583.1967773,0.465198966
583.4239502,0.471093071
583.651123,0.460832089
583.8782959,0.464598008
584.1054688,0.466717748
584.3327026,0.459491205
584.5598755,0.458175733
584.7871094,0.461287669
585.0143433,0.461919807
585.2415771,0.466085086
585.468811,0.456131811
585.696106,0.447344232
585.9233398,0.45537438
586.1506348,0.4508563
586.3779297,0.455820796
586.6052246,0.4646445
586.8325806,0.466336826
587.0598755,0.465768411
587.2872314,0.484397572
587.5145874,0.4648607
587.7419434,0.469002528
587.9692993,0.481756003
588.1966553,0.470024992
588.4240723,0.462508368
588.6514893,0.475820827
588.8789063,0.467402717
589.1063232,0.477070343
589.3337402,0.470714738
589.5612183,0.479681827
589.7886353,0.4763762
590.0161133,0.484676697
590.2435913,0.475548661
590.4710693,0.477156293
590.6985474,0.47343527
590.9260864,0.459023077
591.1536255,0.467962229
591.3811035,0.454494422
591.6087036,0.450913576
591.8362427,0.44588437
592.0637817,0.451356674
592.2913818,0.438773141
592.5189209,0.451892302
592.746521,0.432682302
592.9741211,0.445897499
593.2017822,0.443927396
593.4293823,0.439175959
593.6570435,0.445057706
593.8846436,0.449254483
594.1123047,0.455659763
594.3400269,0.44882091
594.567688,0.44727493
594.7953491,0.457593246
595.0230713,0.466585465
595.2507935,0.458398751
595.4785156,0.455828683
595.7062378,0.473785841
595.93396,0.45234717
596.1617432,0.45742928
596.3894653,0.444701277
596.6172485,0.441257861
596.8450317,0.44440541
597.072876,0.448353223
597.3006592,0.45004789
597.5284424,0.447500937
597.7562866,0.459697386
597.9841309,0.464834564
598.2119751,0.443207412
598.4398193,0.476031152
598.6677246,0.45243855
598.8955688,0.449280191
599.1234741,0.468627002
599.3513794,0.455649687
599.5792847,0.45458995
599.807251,0.454977919
600.0351563,0.461472155
600.2631226,0.456611431
600.4910278,0.463552745
600.7189941,0.458748403
600.9470215,0.464036939
601.1749878,0.459518661
601.4029541,0.460134155
601.6309814,0.458541984
601.8590088,0.459397972
602.0870361,0.452305872
602.3150635,0.457212446
602.5430908,0.4474619
602.7711792,0.451449356
602.9992676,0.454216796
603.2272949,0.46099305
603.4553833,0.44395833
603.6835327,0.451616528
603.9116211,0.443395009
604.1397705,0.443744269
604.3678589,0.448598351
604.5960083,0.43902633
604.8241577,0.43141299
605.0523071,0.431587399
605.2805176,0.423306445
605.508667,0.420434026
605.7368774,0.423637925
605.9650879,0.432036385
606.1932983,0.425874786
606.4215088,0.427309287
606.6497803,0.419557066
606.8779907,0.426718213
607.1062622,0.42845925
607.3345337,0.418223846
607.5628052,0.434079935
607.7911377,0.420157208
608.0194092,0.421365657
608.2477417,0.421723916
608.4760132,0.429911551
608.7043457,0.425862588
608.9326782,0.429623838
609.1610718,0.43149316
609.3894043,0.430279995
609.6177979,0.430589323
609.8461914,0.430517814
610.074585,0.427029694
610.3029785,0.415419741
610.5313721,0.423991494
610.7598267,0.426897918
610.9882202,0.430741396
611.2166748,0.422135617
611.4451294,0.420135359
611.673584,0.42614933
611.9020996,0.436163738
612.1305542,0.42787893
612.3590698,0.438657316
612.5875854,0.433868034
612.8161011,0.435924914
613.0446167,0.445485048
613.2731323,0.447889536
613.501709,0.444884084
613.7302246,0.441971204
613.9588013,0.438677809
614.1873779,0.434054248
614.4159546,0.431295321
614.6445923,0.427861064
614.8731689,0.429051768
615.1018066,0.443685302
615.3304443,0.447641359
615.559082,0.447225321
615.7877197,0.448567056
616.0163574,0.460011575
616.2450562,0.461312023
616.4736938,0.469497805
616.7023926,0.472924711
616.9310913,0.47383717
617.15979,0.47367412
617.3885498,0.473376959
617.6172485,0.492478535
617.8460083,0.490096155
618.0747681,0.485793348
618.3035278,0.485756853
618.5322876,0.501777315
618.7610474,0.499159347
618.9898682,0.483524583
619.218689,0.48527568
619.4475098,0.478145399
619.6763306,0.476198223
619.9051514,0.481930831
620.1339722,0.468720733
620.362854,0.470281146
620.5916748,0.481547577
620.8205566,0.491159902
621.0494385,0.494877397
621.2783203,0.49942651
621.5072632,0.508910407
621.736145,0.504690576
621.9650879,0.509057523
622.1940308,0.518524954
622.4229736,0.507362857
622.6519165,0.509538109
622.8808594,0.514971463
623.1098633,0.523086093
623.3388672,0.513884707
623.5678101,0.520664132
623.796814,0.509280714
624.0258789,0.510601761
624.2548828,0.507814042
624.4839478,0.514206884
624.7129517,0.508109672
624.9420166,0.519667467
625.1710815,0.504948802
625.4001465,0.514547996
625.6292725,0.506638578
625.8583374,0.50982319
626.0874634,0.507630216
626.3165894,0.506825633
626.5457153,0.508109844
626.7748413,0.513781296
627.0039673,0.515605734
627.2330933,0.504988915
627.4622803,0.509510088
627.6914673,0.501521847
627.9206543,0.512014474
628.1498413,0.49961956
628.3790283,0.503635975
628.6082764,0.502004171
628.8374634,0.50418678
629.0667114,0.502836448
629.2959595,0.498933101
629.5252075,0.49298829
629.7545166,0.496980971
629.9837646,0.498944237
630.2130737,0.50746933
630.4423218,0.519913626
630.6716309,0.518598569
630.901001,0.524841431
631.1303101,0.532653587
631.3596191,0.538134641
631.5889893,0.541817906
631.8183594,0.539409244
632.0477295,0.550360431
632.2770996,0.561472721
632.5064697,0.547404126
632.7358398,0.543542908
632.965271,0.549289649
633.1947021,0.547546524
633.4240723,0.551932305
633.6535645,0.55100653
633.8829956,0.554551545
634.1124268,0.552969561
634.3419189,0.558778336
634.5713501,0.553287293
634.8008423,0.551660826
635.0303345,0.562281216
635.2598267,0.563105448
635.4893799,0.569831923
635.7188721,0.569745808
635.9484253,0.593118626
636.1779785,0.599152268
636.4075317,0.603386761
636.637085,0.593253081
636.8666382,0.602787542
637.0962524,0.604796373
637.3258057,0.638586455
637.5554199,0.611917246
637.7850342,0.615860972
638.0146484,0.61335157
638.2443237,0.616447781
638.473938,0.617291377
638.7036133,0.616372687
638.9332886,0.614876505
639.1629028,0.619154643
639.3926392,0.625135827
639.6223145,0.635107721
639.8519897,0.612733011
640.0817261,0.612260947
640.3114624,0.641492762
640.5411377,0.620965042
640.7709351,0.623355969
641.0006714,0.615798333
641.2304077,0.613889207
641.4602051,0.62282224
641.6899414,0.610543246
641.9197388,0.617480544
642.1495361,0.6330931
642.3793335,0.624213883
642.6091919,0.627763758
642.8389893,0.621226097
643.0688477,0.627290901
643.2987061,0.630857173
643.5285645,0.630196712
